No,Product Title,Price,Rating,Product URL,Availability
11,"Error: Message: Unable to locate element: .a-price-whole; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:193:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:511:5
dom.find/</<@chrome://remote/content/shared/DOM.sys.mjs:136:16
",,,,
12,Apple iPhone 15 (128 GB) - Pink,"71,290",,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX3TW6X/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY&dib_tag=se&keywords=iphone+15&qid=1724743582&sr=8-7,Unavailable
13,Apple iPhone 15 (256 GB) - Green,"80,600",,https://www.amazon.in/Apple-iPhone-15-256-GB/dp/B0CHX41VNZ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY&dib_tag=se&keywords=iphone+15&qid=1724743582&sr=8-8,Unavailable
14,Apple iPhone 15 (128 GB) - Yellow,"71,290",,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX7NG26/ref=sr_1_9?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY&dib_tag=se&keywords=iphone+15&qid=1724743582&sr=8-9,Unavailable
15,Apple iPhone 15 (512 GB) - Blue,"1,00,600",,https://www.amazon.in/Apple-iPhone-15-512-GB/dp/B0CHXB1PT6/ref=sr_1_10?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY&dib_tag=se&keywords=iphone+15&qid=1724743582&sr=8-10,Unavailable
16,Apple iPhone 15 Plus (128 GB) - Black,"79,999",,https://www.amazon.in/Apple-iPhone-15-Plus-128/dp/B0CHXCR9CX/ref=sr_1_11?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY&dib_tag=se&keywords=iphone+15&qid=1724743582&sr=8-11,Unavailable
17,Apple iPhone 15 Pro (128 GB) - Natural Titanium,"1,28,200",,https://www.amazon.in/Apple-iPhone-15-Pro-128/dp/B0CHX7J4TL/ref=sr_1_12?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY&dib_tag=se&keywords=iphone+15&qid=1724743582&sr=8-12,Unavailable
18,Apple iPhone 15 (512 GB) - Pink,"1,00,600",,https://www.amazon.in/Apple-iPhone-15-512-GB/dp/B0CHWWNKS6/ref=sr_1_13?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY&dib_tag=se&keywords=iphone+15&qid=1724743582&sr=8-13,Unavailable
19,Apple iPhone 15 (512 GB) - Yellow,"1,00,600",,https://www.amazon.in/Apple-iPhone-15-512-GB/dp/B0CHX3QB9M/ref=sr_1_14?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY&dib_tag=se&keywords=iphone+15&qid=1724743582&sr=8-14,Unavailable
20,Apple iPhone 15 Pro Max (256 GB) - Natural Titanium,"1,44,999",,https://www.amazon.in/Apple-iPhone-Pro-Max-256/dp/B0CHX68YG9/ref=sr_1_15?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY&dib_tag=se&keywords=iphone+15&qid=1724743582&sr=8-15,Unavailable
